Name,Executable_Name
"SpeedRunners","speedrunners.exe"
"Move or Die","love"
"Move or Die","love"
"Move or Die","love.exe"
"Holodrive","holodrive.exe"
"GRIP","grip-win64-shipping.exe"
"Hellion","hellion.exe"
"Divinity Original Sin 2","eocapp.exe"
"Foxhole","war-win64-shipping.exe"
"Unturned","unturned.exe"
"Unturned","unturned_be.exe"
"Battlerite","battlerite.exe"
"League of Legends","lolex.exe"
"League of Legends","lol.exe"
"League of Legends","league of legends.exe"
"League of Legends","lollauncher.app"
"PLAYERUNKNOWN'S BATTLEGROUNDS","tslgame.exe"
"PLAYERUNKNOWN'S BATTLEGROUNDS","tslgame_be.exe"
"Counter-Strike: Global Offensive","csgo.exe"
"Counter-Strike: Global Offensive","csgo_linux64"
"Counter-Strike: Global Offensive","csgo_osx64"
"Overwatch","overwatch.exe"
"Minecraft","minecraft.windows.exe"
"Minecraft","javaw.exe"
"Minecraft","minecraftlauncher.exe"
"Minecraft",">java"
"Minecraft",">javaw.exe"
"World of Warcraft","world of warcraft.app"
"World of Warcraft","wow-64.exe"
"World of Warcraft","wow.exe"
"Hearthstone","hearthstone.app"
"Hearthstone","hearthstone.exe"
"Dota 2","dota2.exe"
"Dota 2","dota_osx.app"
"Grand Theft Auto V","gta5.exe"
"Tom Clancy's Rainbow Six Siege","rainbowsix.exe"
"Tom Clancy's Rainbow Six Siege","rainbowsix_be.exe"
"Tom Clancy's Rainbow Six Siege","rainbowsixgame.exe"
"Rocket League","rocketleague.exe"
"Heroes of the Storm","heroes of the storm.exe"
"Heroes of the Storm","heroes.app"
"Heroes of the Storm","heroesofthestorm.exe"
"Heroes of the Storm","heroesofthestorm_x64.exe"
"Garry's Mod",">hl2.exe"
"Garry's Mod",">hl2_osx"
"Garry's Mod","hl2.exe"
"Garry's Mod","hl2.exe"
"H1Z1: King of the Kill","h1z1.exe"
"ARK: Survival Evolved","shootergame.exe"
"ARK: Survival Evolved","shootergame_be.exe"
"Paladins","paladins.exe"
"Paladins","paladinseac.exe"
"Path of Exile","pathofexile.exe"
"Path of Exile","pathofexile_x64.exe"
"Path of Exile","pathofexile_x64steam.exe"
"Path of Exile","pathofexilesteam.exe"
"Team Fortress 2",">hl2.exe"
"Team Fortress 2",">hl2_osx"
"Team Fortress 2","hl2tf.exe"
"Rust","rust.exe"
"Rust","rustclient.exe"
"World of Tanks","worldoftanks.exe"
"FINAL FANTASY XIV","ffxiv.exe"
"FINAL FANTASY XIV","ffxiv_dx11.exe"
"FINAL FANTASY XIV","final fantasy xiv.app"
"Geometry Dash","geometrydash.exe"
"Dolphin","dolphin.exe"
"Terraria","terraria.app"
"Terraria","terraria.bin.x86"
"Terraria","terraria.exe"
"Brawlhalla","brawlhalla.app"
"Brawlhalla","brawlhalla.exe"
"The Walking Dead","walkingdead101.exe"
"Sonic Mania","sonicmania.exe"
"Golf With Your Friends","golf with your friends.exe"
"Cities: Skylines","cities.exe"
"Arma 3","arma3.exe"
"Left 4 Dead 2",">hl2_osx"
"Left 4 Dead 2","left4dead2.exe"
"Left 4 Dead 2","left4dead2.exe"
"Project 64","project64.exe"
"RuneScape","jagexlauncher.exe"
"RuneScape","osbuddy.exe"
"RuneScape","osbuddy64.exe"
"RuneScape","runescape.app"
"RuneScape","runescape.exe"
"RuneScape","swiftkit-rs.exe"
"Dead by Daylight","deadbydaylight-win64-shipping.exe"
"Dead by Daylight","deadbydaylight.exe"
"War Thunder","aces.exe"
"World of Warships","worldofwarships.exe"
"Duelyst","duelyst.exe"
